advertiserNumber,advertiserCategoryIndex,budget,CPAConstraint,timeStepIndex,pValue,leastWinningCost,conversionAction
104,2,10000,175.42,4,0.00031,0.0801,0
104,2,10000,175.42,9,0.01491,2.6153,0
104,2,10000,175.42,24,0.003812,0.6856,0
104,2,10000,175.42,7,0.000562,0.0939,0
104,2,10000,175.42,45,0.021814,3.9117,0
104,2,10000,175.42,26,0.036778,5.2852,0
104,2,10000,175.42,27,0.02012,4.1619,0
104,2,10000,175.42,22,0.044995,9.1344,0
104,2,10000,175.42,30,0.087224,9.8075,0
104,2,10000,175.42,3,0.039275,9.3582,0
104,2,10000,175.42,45,0.006961,1.4905,0
104,2,10000,175.42,20,0.045535,10.5527,0
104,2,10000,175.42,4,0.011404,1.3807,0
104,2,10000,175.42,19,0.013934,2.1655,0
104,2,10000,175.42,42,0.025706,6.6744,0
104,2,10000,175.42,20,0.008693,1.3027,0
104,2,10000,175.42,37,0.002075,0.3963,0
104,2,10000,175.42,25,0.004246,0.4039,0
104,2,10000,175.42,16,0.03002,5.1482,0
104,2,10000,175.42,21,0.042437,4.0125,0
104,2,10000,175.42,6,0.020942,2.1011,0
104,2,10000,175.42,18,0.012447,2.6662,0
104,2,10000,175.42,25,0.017137,3.0537,0
104,2,10000,175.42,36,0.018326,3.0607,0
104,2,10000,175.42,13,0.017884,4.3327,0
104,2,10000,175.42,15,0.001532,0.157,0
104,2,10000,175.42,27,0.008732,2.1133,0
104,2,10000,175.42,0,0.020504,3.0363,1
104,2,10000,175.42,33,0.066134,6.0155,1
104,2,10000,175.42,8,0.042263,6.4335,0
104,2,10000,175.42,20,0.010105,1.5107,0
104,2,10000,175.42,37,0.027227,3.9755,0
104,2,10000,175.42,47,0.005234,0.4926,0
104,2,10000,175.42,9,0.002642,0.2354,0
104,2,10000,175.42,26,0.003139,0.4435,0
104,2,10000,175.42,4,0.013662,1.3493,0
104,2,10000,175.42,47,0.002966,0.4846,0
104,2,10000,175.42,40,0.001051,0.1003,0
104,2,10000,175.42,6,0.023282,3.1168,0
104,2,10000,175.42,29,0.0247,3.5568,0
104,2,10000,175.42,22,0.001332,0.1515,0
104,2,10000,175.42,41,0.046331,4.1269,0
104,2,10000,175.42,39,0.012467,1.9703,0
104,2,10000,175.42,26,0.002221,0.3607,0
104,2,10000,175.42,16,0.028728,3.8153,0
104,2,10000,175.42,14,0.00236,0.5947,0
104,2,10000,175.42,9,0.000163,0.0264,0
104,2,10000,175.42,13,0.010241,0.951,0
104,2,10000,175.42,30,0.000755,0.1606,0
104,2,10000,175.42,19,0.03781,8.9801,0
104,2,10000,175.42,8,0.002707,0.2578,0
104,2,10000,175.42,30,0.022089,5.0713,0
104,2,10000,175.42,13,0.003135,0.2922,0
