advertiserNumber,advertiserCategoryIndex,budget,CPAConstraint,timeStepIndex,pValue,leastWinningCost,conversionAction
101,4,10000,95.12,31,0.017801,2.4931,0
101,4,10000,95.12,22,0.035898,2.2481,0
101,4,10000,95.12,36,0.074952,6.9134,0
101,4,10000,95.12,46,0.049868,3.4141,1
101,4,10000,95.12,12,0.03916,3.7542,0
101,4,10000,95.12,32,0.001619,0.1528,0
101,4,10000,95.12,33,0.009653,1.1527,0
101,4,10000,95.12,14,0.020153,1.816,0
101,4,10000,95.12,33,0.032206,3.9991,0
101,4,10000,95.12,15,0.002301,0.2625,0
101,4,10000,95.12,30,0.007675,0.4566,0
101,4,10000,95.12,18,0.027714,1.8901,0
101,4,10000,95.12,38,0.038795,2.6166,0
101,4,10000,95.12,35,0.002838,0.1811,0
101,4,10000,95.12,29,0.038839,5.079,0
101,4,10000,95.12,15,0.092849,12.0995,0
101,4,10000,95.12,19,0.027538,2.7909,0
101,4,10000,95.12,30,0.01204,1.5261,0
101,4,10000,95.12,37,0.037561,3.0563,0
101,4,10000,95.12,3,0.016275,1.8971,0
101,4,10000,95.12,39,0.013149,1.0838,0
101,4,10000,95.12,5,0.022561,1.5399,0
101,4,10000,95.12,32,0.001525,0.1321,0
101,4,10000,95.12,31,0.012535,1.6324,0
101,4,10000,95.12,26,0.037278,2.2445,0
101,4,10000,95.12,5,0.029871,2.4334,0
101,4,10000,95.12,12,0.001306,0.1221,0
101,4,10000,95.12,2,0.008457,1.1926,0
101,4,10000,95.12,33,0.034691,1.6999,1
101,4,10000,95.12,13,0.027215,3.8751,0
101,4,10000,95.12,34,0.007982,0.9687,0
101,4,10000,95.12,31,0.004335,0.4958,0
101,4,10000,95.12,3,0.000243,0.0288,0
101,4,10000,95.12,27,0.008969,1.1193,0
101,4,10000,95.12,42,0.028737,1.7611,0
101,4,10000,95.12,5,0.001834,0.2326,0
101,4,10000,95.12,29,0.026672,3.0906,0
101,4,10000,95.12,1,0.01076,1.4703,0
101,4,10000,95.12,8,0.003902,0.4316,0
101,4,10000,95.12,3,0.021012,1.6484,0
101,4,10000,95.12,17,0.008823,0.9545,0
101,4,10000,95.12,19,0.08592,9.7728,0
101,4,10000,95.12,31,0.003704,0.2244,0
101,4,10000,95.12,22,0.039535,4.0972,0
101,4,10000,95.12,21,0.015051,1.0009,0
101,4,10000,95.12,34,0.1113,13.4618,0
101,4,10000,95.12,2,0.003131,0.3511,0
101,4,10000,95.12,28,0.014261,1.5615,0
101,4,10000,95.12,44,0.01638,0.8696,0
101,4,10000,95.12,36,0.031225,3.0206,0
101,4,10000,95.12,27,0.037005,2.1512,0
101,4,10000,95.12,22,0.013018,1.0347,0
101,4,10000,95.12,13,0.001468,0.0727,0
101,4,10000,95.12,45,0.008747,0.9881,0
101,4,10000,95.12,20,0.018496,1.7225,0
101,4,10000,95.12,46,0.000614,0.067,1
101,4,10000,95.12,7,0.010413,1.4221,0
101,4,10000,95.12,19,0.006803,0.5375,0
101,4,10000,95.12,0,0.024235,2.0855,0
101,4,10000,95.12,40,0.003858,0.338,0
101,4,10000,95.12,0,0.02482,3.101,0
101,4,10000,95.12,28,0.000804,0.0737,0
101,4,10000,95.12,47,0.006668,0.7411,0
101,4,10000,95.12,41,0.018019,1.2572,0
101,4,10000,95.12,36,0.032691,2.3542,0
101,4,10000,95.12,34,0.014703,1.7358,0
101,4,10000,95.12,22,0.041028,4.0618,0
101,4,10000,95.12,37,0.014185,1.4405,0
101,4,10000,95.12,42,0.004569,0.5433,0
101,4,10000,95.12,7,0.000882,0.0926,0
101,4,10000,95.12,37,0.004582,0.3915,0
101,4,10000,95.12,41,0.002213,0.2103,0
101,4,10000,95.12,10,0.013418,1.3519,0
101,4,10000,95.12,45,0.017087,2.3732,0
101,4,10000,95.12,39,0.010046,1.331,0
101,4,10000,95.12,31,0.014833,1.7176,0
101,4,10000,95.12,12,0.000142,0.0079,0
101,4,10000,95.12,46,0.032979,3.2157,0
101,4,10000,95.12,33,0.000266,0.0249,0
101,4,10000,95.12,13,0.018437,1.6266,0
101,4,10000,95.12,22,0.069187,4.3089,0
101,4,10000,95.12,11,0.002182,0.1917,0
101,4,10000,95.12,15,0.099168,6.6113,0
101,4,10000,95.12,41,0.008065,0.9964,0
101,4,10000,95.12,39,0.010551,0.6735,0
101,4,10000,95.12,17,0.032823,1.6359,0
101,4,10000,95.12,0,0.03127,4.4026,0
101,4,10000,95.12,38,0.023376,1.3609,0
101,4,10000,95.12,8,0.020231,1.8929,0
101,4,10000,95.12,18,0.010219,0.6245,0
101,4,10000,95.12,46,0.006383,0.5757,0
101,4,10000,95.12,17,0.029073,2.2899,0
101,4,10000,95.12,39,0.023783,3.0037,0
101,4,10000,95.12,40,0.02724,2.1102,0
101,4,10000,95.12,11,0.028218,2.067,0
101,4,10000,95.12,36,0.009536,0.7642,0
101,4,10000,95.12,34,0.000243,0.0231,0
101,4,10000,95.12,2,0.001638,0.2172,0
101,4,10000,95.12,47,0.008307,0.8116,0
101,4,10000,95.12,37,0.018034,1.3933,0
101,4,10000,95.12,0,0.004268,0.5071,0
101,4,10000,95.12,8,0.014209,0.9621,0
101,4,10000,95.12,25,0.006695,0.5967,0
101,4,10000,95.12,19,0.033846,2.8689,0
101,4,10000,95.12,28,0.008578,0.6144,0
101,4,10000,95.12,8,0.004745,0.264,0
101,4,10000,95.12,36,0.01888,1.1949,0
101,4,10000,95.12,25,0.02164,2.7959,0
101,4,10000,95.12,19,0.003819,0.2479,0
101,4,10000,95.12,4,0.003653,0.2577,0
101,4,10000,95.12,43,0.015047,1.207,0
101,4,10000,95.12,36,0.021018,2.5877,0
101,4,10000,95.12,47,0.005211,0.5375,0
101,4,10000,95.12,33,0.029848,2.7271,0
101,4,10000,95.12,38,0.093961,5.335,0
101,4,10000,95.12,10,0.00128,0.1275,0
101,4,10000,95.12,32,0.002982,0.258,0
101,4,10000,95.12,36,0.019334,2.2881,0
101,4,10000,95.12,35,0.007157,0.8825,0
101,4,10000,95.12,10,0.019234,2.4368,0
101,4,10000,95.12,18,0.011124,1.2521,0
101,4,10000,95.12,30,0.019072,1.3735,0
101,4,10000,95.12,27,0.002305,0.3214,0
