advertiserNumber,advertiserCategoryIndex,budget,CPAConstraint,timeStepIndex,pValue,leastWinningCost,conversionAction
106,3,50000,100.65,16,0.00257,0.1726,0
106,3,50000,100.65,34,0.09088,6.4642,0
106,3,50000,100.65,37,0.007663,0.7102,0
106,3,50000,100.65,27,0.00261,0.3746,0
106,3,50000,100.65,36,0.011461,0.6772,0
106,3,50000,100.65,25,0.030893,4.4864,0
106,3,50000,100.65,22,0.037935,3.6447,0
106,3,50000,100.65,3,0.024393,2.1539,0
106,3,50000,100.65,45,0.001421,0.1167,0
106,3,50000,100.65,40,0.009107,0.6556,0
106,3,50000,100.65,41,0.005638,0.6125,0
106,3,50000,100.65,38,0.017005,1.1382,0
106,3,50000,100.65,1,0.025825,3.6098,0
106,3,50000,100.65,36,0.017769,1.2582,0
106,3,50000,100.65,6,0.010226,1.4623,0
106,3,50000,100.65,40,0.018868,1.2632,0
106,3,50000,100.65,0,0.030878,3.7274,0
106,3,50000,100.65,17,0.011474,1.4037,0
106,3,50000,100.65,19,0.010941,1.1624,0
106,3,50000,100.65,7,0.016498,1.1922,0
106,3,50000,100.65,21,0.028697,2.8168,0
106,3,50000,100.65,31,0.004237,0.582,0
106,3,50000,100.65,30,0.013176,1.4684,0
106,3,50000,100.65,6,0.019608,1.057,0
106,3,50000,100.65,1,0.007388,0.7655,0
106,3,50000,100.65,25,0.032619,4.0233,0
106,3,50000,100.65,24,0.006354,0.438,0
106,3,50000,100.65,47,0.011466,1.3753,0
106,3,50000,100.65,16,0.002991,0.2462,0
106,3,50000,100.65,45,0.000982,0.1477,0
106,3,50000,100.65,28,0.004932,0.7056,0
106,3,50000,100.65,43,0.016911,1.2703,0
106,3,50000,100.65,9,0.013246,1.6705,0
106,3,50000,100.65,28,0.0227,1.4441,0
106,3,50000,100.65,38,0.022252,3.062,0
106,3,50000,100.65,32,0.003419,0.3014,0
106,3,50000,100.65,15,0.030974,2.9689,0
106,3,50000,100.65,34,0.004675,0.4719,0
106,3,50000,100.65,5,0.065208,7.4916,0
106,3,50000,100.65,7,0.0215,2.665,0
106,3,50000,100.65,6,0.034601,2.2048,0
106,3,50000,100.65,1,0.035398,5.0206,0
106,3,50000,100.65,5,0.009524,1.2611,0
106,3,50000,100.65,24,0.017643,2.1521,0
106,3,50000,100.65,3,0.002149,0.245,0
106,3,50000,100.65,40,0.04768,7.0653,0
106,3,50000,100.65,0,0.012322,1.6574,0
106,3,50000,100.65,26,0.001825,0.1372,0
106,3,50000,100.65,47,0.010777,0.8793,0
106,3,50000,100.65,32,0.010759,1.5446,0
106,3,50000,100.65,30,0.024454,1.9847,0
106,3,50000,100.65,12,0.039472,3.3568,0
106,3,50000,100.65,33,0.013295,1.1788,0
106,3,50000,100.65,0,0.002574,0.1319,0
106,3,50000,100.65,29,0.003749,0.556,0
106,3,50000,100.65,25,0.007254,0.7522,0
106,3,50000,100.65,4,0.023039,3.0343,0
106,3,50000,100.65,29,0.011129,1.3364,0
106,3,50000,100.65,3,0.000906,0.104,0
106,3,50000,100.65,17,0.017109,1.1915,0
106,3,50000,100.65,44,0.015121,0.8993,0
106,3,50000,100.65,43,0.003754,0.2908,0
106,3,50000,100.65,4,0.003055,0.343,0
106,3,50000,100.65,15,0.001565,0.2046,0
106,3,50000,100.65,17,0.036803,4.0368,0
106,3,50000,100.65,4,0.038662,4.6711,0
106,3,50000,100.65,34,0.001288,0.1566,0
106,3,50000,100.65,41,0.001179,0.0701,0
106,3,50000,100.65,37,0.028375,2.8621,0
106,3,50000,100.65,42,0.00761,0.9318,0
106,3,50000,100.65,4,0.051288,5.1074,0
106,3,50000,100.65,9,0.002027,0.3007,0
106,3,50000,100.65,29,0.031441,2.005,0
106,3,50000,100.65,16,0.022586,3.2744,0
106,3,50000,100.65,3,0.013517,1.2751,0
106,3,50000,100.65,21,0.010929,1.4729,0
106,3,50000,100.65,22,0.009755,0.9404,0
106,3,50000,100.65,4,0.02022,2.7306,0
106,3,50000,100.65,23,0.031671,3.9689,0
106,3,50000,100.65,8,0.043916,2.7048,0
106,3,50000,100.65,2,0.034206,2.482,0
106,3,50000,100.65,20,0.001506,0.1211,0
106,3,50000,100.65,45,0.04319,3.0922,0
106,3,50000,100.65,3,0.008514,1.1941,0
106,3,50000,100.65,20,0.005071,0.5813,0
106,3,50000,100.65,19,0.02111,2.5474,0
106,3,50000,100.65,36,0.032349,1.924,0
106,3,50000,100.65,12,0.015293,2.025,0
106,3,50000,100.65,38,0.026257,3.6475,0
106,3,50000,100.65,3,0.009527,0.6427,0
106,3,50000,100.65,46,0.023952,2.8438,0
106,3,50000,100.65,22,0.064526,5.3399,0
106,3,50000,100.65,25,0.005958,0.3173,0
106,3,50000,100.65,33,0.002824,0.2854,0
106,3,50000,100.65,22,0.001685,0.0888,0
106,3,50000,100.65,20,0.008764,0.6257,0
106,3,50000,100.65,9,0.114901,11.2789,0
106,3,50000,100.65,32,0.009228,0.9837,0
106,3,50000,100.65,41,0.009249,1.3111,0
106,3,50000,100.65,9,0.016492,1.9394,0
106,3,50000,100.65,9,0.029089,2.938,0
106,3,50000,100.65,19,0.009479,0.9411,1
106,3,50000,100.65,25,0.004425,0.3811,0
106,3,50000,100.65,46,0.01619,1.2414,1
106,3,50000,100.65,27,0.024116,1.2298,0
106,3,50000,100.65,35,0.009599,1.2352,0
106,3,50000,100.65,22,0.065074,8.8259,0
106,3,50000,100.65,32,0.001321,0.166,0
106,3,50000,100.65,42,0.006489,0.7334,0
106,3,50000,100.65,23,0.009499,1.1856,0
106,3,50000,100.65,24,0.05461,5.1701,0
106,3,50000,100.65,32,0.060659,3.7629,0
106,3,50000,100.65,5,0.008584,1.0453,0
106,3,50000,100.65,27,0.007242,0.975,0
106,3,50000,100.65,27,0.010304,0.6119,0
106,3,50000,100.65,4,0.029354,3.0457,0
106,3,50000,100.65,43,0.035556,4.7141,0
106,3,50000,100.65,14,0.004016,0.2887,0
106,3,50000,100.65,27,0.008594,1.2511,0
106,3,50000,100.65,45,0.008432,0.8526,0
106,3,50000,100.65,37,0.001243,0.1679,0
106,3,50000,100.65,35,1.6e-05,0.0022,0
106,3,50000,100.65,23,0.034297,4.7695,0
106,3,50000,100.65,33,0.001966,0.2611,0
106,3,50000,100.65,23,0.007702,0.7872,0
106,3,50000,100.65,40,0.050947,2.921,0
106,3,50000,100.65,38,0.011797,1.3492,0
106,3,50000,100.65,36,0.005361,0.4414,0
106,3,50000,100.65,20,0.024171,3.2311,0
106,3,50000,100.65,8,0.030698,1.5898,0
106,3,50000,100.65,24,0.001688,0.1424,0
106,3,50000,100.65,33,0.002743,0.3521,0
106,3,50000,100.65,17,0.006374,0.3774,0
106,3,50000,100.65,13,0.050068,4.7534,0
106,3,50000,100.65,4,0.006457,0.8587,0
106,3,50000,100.65,31,0.007835,0.6015,0
106,3,50000,100.65,36,0.008198,1.2252,0
106,3,50000,100.65,32,0.030503,2.2114,0
106,3,50000,100.65,17,0.016418,1.2324,0
106,3,50000,100.65,45,0.041,3.2405,0
106,3,50000,100.65,31,0.025577,2.4083,0
106,3,50000,100.65,33,0.028153,2.5549,0
106,3,50000,100.65,39,0.032803,2.8271,0
106,3,50000,100.65,21,0.05796,5.8115,0
106,3,50000,100.65,29,0.007273,0.386,0
106,3,50000,100.65,17,0.00284,0.2991,0
106,3,50000,100.65,37,0.006546,0.7025,0
106,3,50000,100.65,23,0.029816,4.1068,0
106,3,50000,100.65,18,0.053161,5.712,0
106,3,50000,100.65,28,0.001866,0.1081,0
106,3,50000,100.65,0,0.02208,1.2796,0
106,3,50000,100.65,2,0.061357,7.8271,0
106,3,50000,100.65,23,0.002413,0.206,0
106,3,50000,100.65,36,0.012922,1.7408,0
106,3,50000,100.65,45,0.006881,1.0263,0
106,3,50000,100.65,10,0.013265,1.5733,0
106,3,50000,100.65,29,0.052358,5.0245,0
106,3,50000,100.65,25,0.012317,0.6598,0
106,3,50000,100.65,22,0.000595,0.0722,0
106,3,50000,100.65,13,0.016834,1.4791,0
106,3,50000,100.65,24,0.02928,2.671,0
106,3,50000,100.65,1,0.013695,1.91,0
106,3,50000,100.65,40,0.012352,1.6606,0
106,3,50000,100.65,1,0.036311,2.2581,0
106,3,50000,100.65,10,0.015499,1.5646,0
106,3,50000,100.65,46,0.009836,0.999,0
106,3,50000,100.65,31,0.031504,4.7171,0
106,3,50000,100.65,8,0.008599,1.2698,0
106,3,50000,100.65,21,0.009358,0.876,0
106,3,50000,100.65,38,0.014063,2.0649,0
106,3,50000,100.65,25,0.000747,0.1095,0
106,3,50000,100.65,33,0.059034,3.2619,0
106,3,50000,100.65,7,0.012739,1.2506,0
106,3,50000,100.65,20,0.007057,0.7412,0
106,3,50000,100.65,12,0.043793,3.427,0
