advertiserNumber,advertiserCategoryIndex,budget,CPAConstraint,timeStepIndex,pValue,leastWinningCost,conversionAction
102,1,50000,105.92,22,0.025047,1.3385,0
102,1,50000,105.92,19,0.028493,4.0801,0
102,1,50000,105.92,31,0.002053,0.2591,0
102,1,50000,105.92,15,0.00059,0.0631,0
102,1,50000,105.92,8,0.035114,5.5303,0
102,1,50000,105.92,31,0.001193,0.1317,0
102,1,50000,105.92,41,0.005768,0.862,0
102,1,50000,105.92,0,0.010943,1.2284,0
102,1,50000,105.92,0,0.016053,1.2107,0
102,1,50000,105.92,38,0.004378,0.526,0
102,1,50000,105.92,16,0.070306,9.1304,0
102,1,50000,105.92,35,0.07616,4.6856,0
102,1,50000,105.92,45,0.015825,1.2188,0
102,1,50000,105.92,8,0.009214,0.9099,0
102,1,50000,105.92,17,0.005833,0.3143,0
102,1,50000,105.92,14,0.007041,0.4783,0
102,1,50000,105.92,36,0.001433,0.1515,0
102,1,50000,105.92,44,0.005254,0.5656,0
102,1,50000,105.92,15,0.001016,0.143,0
102,1,50000,105.92,27,0.038468,2.3082,0
102,1,50000,105.92,19,0.006332,0.775,0
102,1,50000,105.92,5,0.057603,8.8067,0
102,1,50000,105.92,46,0.033077,3.3244,0
102,1,50000,105.92,12,0.01313,1.3897,0
102,1,50000,105.92,21,0.011267,1.6216,0
102,1,50000,105.92,19,0.011587,1.6859,0
102,1,50000,105.92,31,0.017141,2.2521,0
102,1,50000,105.92,1,0.015786,1.4197,0
102,1,50000,105.92,29,0.003567,0.5413,0
102,1,50000,105.92,26,0.029397,4.635,0
102,1,50000,105.92,19,0.01192,1.2569,0
102,1,50000,105.92,11,0.005226,0.4903,0
102,1,50000,105.92,8,0.037273,2.6214,0
102,1,50000,105.92,34,0.014783,2.0203,0
102,1,50000,105.92,33,0.031997,4.272,0
102,1,50000,105.92,43,0.025587,3.4457,0
102,1,50000,105.92,2,0.008143,0.7336,0
102,1,50000,105.92,18,0.003751,0.5657,0
102,1,50000,105.92,42,0.005007,0.5494,0
102,1,50000,105.92,11,0.019616,1.9183,0
102,1,50000,105.92,40,0.011876,1.8335,0
102,1,50000,105.92,20,0.009242,0.8853,0
102,1,50000,105.92,28,0.08227,12.9431,0
102,1,50000,105.92,24,0.034961,2.6961,0
102,1,50000,105.92,45,0.034386,2.4832,1
102,1,50000,105.92,39,0.02751,2.1778,0
102,1,50000,105.92,28,0.026276,4.1293,0
102,1,50000,105.92,42,0.018565,2.3176,0
102,1,50000,105.92,0,0.031882,5.0251,0
102,1,50000,105.92,22,0.056626,4.6402,0
102,1,50000,105.92,16,0.001747,0.1811,0
102,1,50000,105.92,11,0.008985,0.7199,0
102,1,50000,105.92,30,0.045443,2.7697,0
102,1,50000,105.92,3,0.026381,2.1836,0
102,1,50000,105.92,30,0.004247,0.6483,0
102,1,50000,105.92,8,0.011362,1.7639,0
102,1,50000,105.92,39,0.009808,0.7962,0
102,1,50000,105.92,37,0.006492,0.7733,0
102,1,50000,105.92,7,0.014554,1.4926,0
102,1,50000,105.92,25,0.011107,0.6554,0
102,1,50000,105.92,7,0.001798,0.2648,0
